id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,created_date,emailed,comments,invoice_no,invoice_date
49,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\komalpreet
C1Node91",#19531,2024-09-23,Yes,,,
50,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New Laptop - dig\komalpreet

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : FR3VNH2",#19531,2024-09-23,Yes,,,
51,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,IT Services,"Description = 1 hr ($100+13% = $113)
Canon Imagerunner Printer Diagnose + Installation",#19584,2024-09-20,Yes,,,
52,CIC Toronto,"155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5",,IT Services,"Office 365 License installed.
Arshpartap Singh (CIC)
SerialNumber
2UA4041FQG
DESKTOP-8S5LK99",#19553,2024-09-19,Yes,,,
53,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",,IT Services,"12 V Power adapter for Dell Monitor And
CPU - HP Compaq 82100 Elite
S/N: 2UA2032151
CPU : i5 - 20400CPU
8 GB RAM
128GB - SSD
500 GB - SATA",#19547,2024-09-19,Yes,,,
54,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\Davinder
C1Node 88",#19108,2024-09-13,Yes,,,
55,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\Vardeep
C1Node89",#19108,2024-09-13,Yes,,,
56,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\neha
C1Node90",#19129,2024-09-13,Yes,,,
57,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New Email: domtar@haulagenorthamerica.com,#19206,2024-09-13,Yes,,,
58,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New VGA cable - (Prabhjot's PC),#19166,2024-09-12,Yes,,,
59,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New VGA to display converter installed cable - (Harpreet's PC),#19190,2024-09-12,Yes,,,
60,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"2 Yealink Devices:

Yealink Details of 1 SIP - T53
S/N: 201086F121004154 
MAC: 249AD8985C44

Yealink Device - 1 SIP T53: 
- S/N: 201086D051012425
- MAC: 805E0C2F4D01",#19076,2024-09-12,Yes,,,
61,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"2 LCD Installed:

HP Compaq LA2306x Monitor
S/N: 3CQ3092RS0
Product No. XN 375A

HP Compaq LA2306x Monitor
S/N: 3CQ2480XT6
Product No. XN375A",#19075,2024-09-12,Yes,,,
62,Ankit (Diamond),Na,,IT Services,1 Dell Latitude Laptop Charger,#19078,2024-09-11,Yes,,,
63,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"2 CPU's Installed:

CPU: 1 Dell Inc CPU
USER: Harpreet's PC
System Model: OptiPlex 7060
Processor: Intel(R) i7-8th Gen
(RAM): 16.0 GB
HDD: 1 TB NvMe + 1 TB HDD
RAM: 16GB
Service Tag Number: 702DZV2

CPU: 1 Dell Inc CPU
System Model: OptiPlex 7060
Processor: Intel(R) i7-8th Gen
(RAM): 16.0 GB
HDD: 1 TB NvMe + 500 GB HDD
Service Tag Number: 4T2YDW2",#19075,2024-09-09,Yes,,,
64,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,IT Services,"Windows License Upgrade to Windows Pro
India - Guri Laptop
SerialNumber 5CD42607SP",#19067,2024-09-09,Yes,,,
65,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Renewed Dell Laptop + New RDP + Email + DUO
Username: dig\Harkaran
Node# 86

Dell Laptop Latitude 7480
Dell Laptop S/N: 8P338S2 (2018)
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18435,2024-09-03,Yes,,,
66,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 Renewed Dell Laptop + New RDP + Email + DUO
Username: dig\shahroz
Node# 85

Dell Laptop Latitude 7480
Dell Laptop S/N: HBVYPQ2 (2018)
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18435,2024-09-03,Yes,,,
67,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + Email + DUO
Username: dig\ayushb
Node# 83",#18417,2024-08-30,Yes,,,
68,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + DUO
Username: dig\shubrai
Node# 84",#18398,2024-08-30,Yes,,,
69,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO +1 Email
Username: dig\sahil
Node# 82",#18355,2024-08-30,Yes,,,
70,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"New Domain: Rendex Logistics
3 Email ID's Created:
dispatch@rendexlogistics.com 
safety@rendexlogistics.com 
accounting@rendexlogistics.com",#17141,2024-08-29,Yes,,,
71,Augmented Networks (Jaspreet),Na,,IT Services,"1 Dell CPU S/N: 4T2WDW2
Specifications: 16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)

2 Connector Cables,
1 Power Cable,
1 Dell Keyboard,
1 Dell Mouse",#18383,2024-08-28,Yes,,,
72,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"New Domain: Roadtrainxpress
3 Email ID's Created:
dispatch@roadtrainxpress.com 
dispatch@lionforcelogistics.com 
dispatch@roadwaytranshaul.com",#18395,2024-08-28,Yes,,,
73,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,"2 New Emails
iceriver@haulagenorthamerica.com 
mandy@haulagenorthamerica.com",#18278,2024-08-26,Yes,,,
74,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO +1 Email
Username: dig\gurpreet

+1 New Dell Laptop Latitude 7480
Dell Laptop S/N: B1FTNN2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18185,2024-08-21,Yes,,,
75,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,1 Power Cable - (For User Dig\Ankit),#17920,2024-08-16,Yes,,,
76,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New email dispatch@hnapharmalogistics.com,#18098,2024-08-16,Yes,,,
77,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO +1 Email
Username: dig\shilpa",#18037,2024-08-15,Yes,,,
78,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO +1 Email
Username: dig\vijeta

+1 New Dell Laptop Latitude 7480
Dell Laptop S/N: CDSSPQ2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18044,2024-08-15,Yes,,,
79,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,New Email Only shubkaran@dig.insure,#18013,2024-08-14,,,,
80,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,1 Power Cable - Only,#18004,2024-08-13,Yes,,,
81,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\amanpreet",#17920,2024-08-12,Yes,,,
82,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New Dell Laptop Latitude 7480
Dell Laptop S/N: 1VMNFH2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#17920,2024-08-12,Yes,,,
83,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,IT Services,New User: Diksha Rana - QB only,#17969,2024-08-12,Yes,,,
84,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New User: Prabhjot kaur Rathore,#17768,2024-08-12,Yes,,,
85,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,IT Services,New User: Anirudh,#17970,2024-08-12,Yes,,,
86,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"2 LAPTOP'S: 
Laptop - Dell Latitude 7480 
Serial Number:
- JTH7RN2
- 3RJSNN2
· Operating System Windows 10 Pro 64-bit
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17901 & 17852,2024-08-09,Yes,,,
87,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\navdeep",#17901,2024-08-09,Yes,,,
88,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\angad",#17852,2024-08-09,Yes,,,
89,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\ankit",#17756,2024-08-09,Yes,,,
90,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\Priya",#17651,2024-08-06,Yes,,,
91,Arthur Transport Company Inc.,"1750 Steeles Avenue East, Brampton ON L6T 1A4",,IT Services,"1 New RDP + 1 DUO
Username: Arthur\A6",#11940,2024-08-01,Yes,,,
92,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New RDP + 1 DUO + 1 Email
Username: dig\simarjeet",#17611,2024-07-31,Yes,,,
93,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"3 New Laptop Details:- 
Laptop - Dell Latitude 7480 - Serial Number :
- J7K4QQ2
- G3LMHR2
- ServiceTag S/N:H6MNMQ2 (Bios S/N: 412CHR2)
· Operating System Windows 10 Pro 64-bit
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17615,2024-07-30,Yes,,,
94,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,IT Services,"1 Synology Server Setup:
- Synology - DS923+
- MAC 9009D05B253D
- MAC 9009D05B253E
- D/N - 2410TQR4G3GKG",#17612,2024-07-29,Yes,,,
95,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,IT Services,"Onsite Visit for Internet Setup. 
- 3Hrs Serviced
(12:00noon - 3:00pm)",#17626,2024-07-29,Yes,,,
96,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,IT Services,NEW RDP Created + DUO (Jagruti),#17544,2024-07-26,,,,
97,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"Ethernet Setup at New Office:
- 4x 18 meter Internet Cabling,
- 1 Cisco Switch
- 8 Ethernet Cables 
- 2 External ports
- 4 Ethernet Jack",#17610,2024-07-25,Yes,,,
98,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"3 New RDP + 3 DUO + 3 Email
Username: dig\gautam, dig\navneet, dig\rupinder1",#17389,2024-07-25,Yes,,,
99,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"1 New Laptop Details:- 
Laptop - Dell Latitude 7480 - Serial Number : B98P0N2
· Operating System Windows 10 Pro 64-bit 
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17389,2024-07-25,Yes,,,
100,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,Sandeep Mann - Personal PC + 2 LCDs - Rajkaran handled the Payment,#14873,2024-07-24,Yes,,,
101,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New RDP + DUO + Email
Username: dig\jaspreet",#16925,2024-07-17,Yes,,,
102,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New RDP + DUO + Email
Username: dig\asim",#16009,2024-07-12,Yes,,,
103,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,IT Services,"New RDP + DUO + Email
Username: dig\ritika",#16772,2024-07-12,Yes,,,
