id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,created_date,emailed,comments,invoice_no,invoice_date
18,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"Hardware Installed
1 (qty) - Cisco Switch 24 Port 
10 Patch Cables
3 (qty) - Dell LCD S2725H
S/N#
- 29THK04
- H8THK04
- H7THK04
5 (qty) - Dell Optiplex CPUs = i5 6th Gen 16 GB RAM 512 GB SSD
S/N#
- HV1QZV2
- 89KPCP2
- HV1RZV2
- HV0NZV2
- HV1NZV2",#20553,10/29/2024,Yes,"Send Invoice to Ravi Grewal
“2078359 Ontario Inc.
",,
19,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\sahil1
C1Node99",#20297,10/22/2024,Yes,,,
20,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New Laptop - dig\sahil1

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : DD3CYY2",#20297,10/22/2024,Yes,"Send Invoice to jas@dig.insure
Jasmeet Singh",,
21,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,,New RDP + DUO + QB = Nitin,#20395,10/22/2024,Yes,,,
22,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New Domain &Email created : Referencechecks@hnagroup.ca,#20272,10/22/2024,Yes,,,
23,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"Caledon insurance company (2days - 6 hrs). 

Pickup material from office. 
Find path for cable pull. 
Pulled 12 cables to designated location. 
Dressed the cable. 
Terminated both side and provided surface mount box.",#20296,10/18/2024,Yes,,,
24,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,,"Gracious (1 day - 8 hrs.)

Pulled cable for 2 camera’s in warehouse and 2 in office’s.
Terminated the cables.
Mounted the cameras on the wall.
Replaced the switch from first floor to reception.
Moved the punch clock machine from warehouse to reception.
Found the port for 2 camera’s in the warehouse house and connected it.
Fixed Anjali printer not working the port is loose.",#20293,10/18/2024,Yes,,,
25,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"Orangeville (1day - 8 hrs.)

Pulled 3 cables from the server room to office and 2*lunch room.
Fished the cable down the wall.
Terminated with jacks and face plate with caddy.
Removed all the rj45 jacks and terminated with keystone jacks.
Created 6 patch to extend the cable and connect the switch to the router.
Mounted all the devices back onto the newly provided rack.
Replaced the patch cables with newly provided short patch cables.",#20292,10/18/2024,Yes,,,
26,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New email rockwool@haulagenorthamerica.com,#20283,10/18/2024,Yes,,,
27,Sanjay Sharma,Smart Immigration,,,"Cabling job done by Ankit.

Smart immigration (1 day - 7 hrs.)

Toned and tested all the cables in main office.
Label all place and created a map for the same floor.
Removed the unwanted switches.
Traced the cable going from main office 204 to 207.
Reconnected the cable and made sure all devices in 204 and 207 worked before leaving.",#20295,10/18/2024,Yes,,,
28,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New VOIP Ext 202 created for India - Kundan,#20233,10/16/2024,Yes,,,
29,Supreme Wire Products Ltd.,"20 Newkirk Ct Unit 11,
Brampton, ON L6Z 0J8",,,Windows 10 Installed and Data transferred,#19841,10/16/2024,Yes,,,
30,CIC Toronto,"155-2960 Drew Road, 
Malton, Mississauga,ON L4T 0A5",,,"1 Display to VGA converter And 1 New CPU details:-
Serial Number : 702HZV2
16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s).",#20214,10/15/2024,Yes,,,
31,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + DUO + Email
Username: dig\mohammad1
C1Node98",#20112,10/11/2024,Yes,,,
32,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + DUO + Email
Username: dig\khushwinder
C1Node97",#20077,10/10/2024,Yes,,,
33,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,2 Yealink power adapters collected by Dupinderpal Bhuttar,#20132,10/9/2024,Yes,,,
34,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + DUO
Username: dig\manpreet1
C1Node96",#20016,10/8/2024,Yes,,,
35,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"1 Server + 5 RDPs + 5 DUO for Haulage India
Haulage SVR!
HNA1
HNA2
HNA3
HNA4
HNA5",#20925,10/8/2024,,,,
36,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New email Support@haulagenorthamerica.com,#20014,10/7/2024,Yes,,,
37,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\naveed
C1Node94",#19955,10/4/2024,Yes,,,
38,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP +DUO Only (Email was created earlier)
Username: dig\sandeep
C1Node95",#19338,10/4/2024,Yes,,,
39,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"Dell New Laptop - Harkaran Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : 837DYY2",#19875,10/2/2024,Yes,"Invoice to be sent to Shahroz email
1000991334 Ontario Inc.
","CC detais:-
4520880064210048
exp : 11/24 CVC: 524
Address: 500Alden Road,
unit#210 Markham, ON, 
L3R 5H5",
40,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"Dell New Laptop - Harkaran Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : G2HBYY2",#19880,10/2/2024,Yes,"Invoice to be sent to Shahroz email
1000991334 Ontario Inc.
",,
41,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,,"Canon Imagerunner2525 Network Printer setup. ( 1 hr. $100 + 13% = $113)
Installation done on 3 PCs.
PC Name: DESKTOP-5Q18MTA
PC Name: DESKTOP-UF2PJUR
PC Name: DESKTOP-DA8HHVJ",#19905,10/2/2024,Yes,,,
42,Gracious Lighting & Home Furnishing,"101 Devon Road, Brampton L6T5A4",,,3 Server HDD of capacity 600GB each Installed,#18220,9/26/2024,Yes,,,
43,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,,"1 New Email:
Email ID: greg.robitaille@Metrox.ca",#19731,9/26/2024,Yes,,,
44,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New Laptop - Ravinder Singh

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : 5B6M1N2",#19651,9/25/2024,Yes,,,
45,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\ravinder
C1Node93",#19651,9/24/2024,Yes,,,
46,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\amandeep
C1Node92",#19522,9/24/2024,Yes,,,
47,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"New Yealink T53 = 4 Qty
Serial Number 
301086G041006453 
301086G041006441 
301086G041009418 
301086G041009439",#19682,9/24/2024,Yes,,,
48,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 New Emails created .
*Upload@dig.insure
*Endorsement@dig.insure",#19576,9/23/2024,Yes,,,
49,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\komalpreet
C1Node91",#19531,9/23/2024,Yes,,,
50,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New Laptop - dig\komalpreet

System Model Latitude 7480
Processor Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2401 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB
SerialNumber : FR3VNH2",#19531,9/23/2024,Yes,,,
51,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
Brampton, ON L6W 3K7
905-230-0700",,,"Description = 1 hr ($100+13% = $113)
Canon Imagerunner Printer Diagnose + Installation",#19584,9/20/2024,Yes,,,
52,CIC Toronto,"155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5",,,"Office 365 License installed.
Arshpartap Singh (CIC)
SerialNumber
2UA4041FQG
DESKTOP-8S5LK99",#19553,9/19/2024,Yes,,,
53,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",,,"12 V Power adapter for Dell Monitor And
CPU - HP Compaq 82100 Elite
S/N: 2UA2032151
CPU : i5 - 20400CPU
8 GB RAM
128GB - SSD
500 GB - SATA",#19547,9/19/2024,Yes,,,
54,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\Davinder
C1Node 88",#19108,9/13/2024,Yes,,,
55,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\Vardeep
C1Node89",#19108,9/13/2024,Yes,,,
56,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\neha
C1Node90",#19129,9/13/2024,Yes,,,
57,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New Email: domtar@haulagenorthamerica.com,#19206,9/13/2024,Yes,,,
58,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New VGA cable - (Prabhjot's PC),#19166,9/12/2024,Yes,,,
59,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New VGA to display converter installed cable - (Harpreet's PC),#19190,9/12/2024,Yes,,,
60,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"2 Yealink Devices:

Yealink Details of 1 SIP - T53
S/N: 201086F121004154 
MAC: 249AD8985C44

Yealink Device - 1 SIP T53: 
- S/N: 201086D051012425
- MAC: 805E0C2F4D01",#19076,9/12/2024,Yes,,,
61,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"2 LCD Installed:

HP Compaq LA2306x Monitor
S/N: 3CQ3092RS0
Product No. XN 375A

HP Compaq LA2306x Monitor
S/N: 3CQ2480XT6
Product No. XN375A",#19075,9/12/2024,Yes,,,
62,Ankit (Diamond),Na,,,1 Dell Latitude Laptop Charger,#19078,9/11/2024,Yes,,,
63,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"2 CPU's Installed:

CPU: 1 Dell Inc CPU
USER: Harpreet's PC
System Model: OptiPlex 7060
Processor: Intel(R) i7-8th Gen
(RAM): 16.0 GB
HDD: 1 TB NvMe + 1 TB HDD
RAM: 16GB
Service Tag Number: 702DZV2

CPU: 1 Dell Inc CPU
System Model: OptiPlex 7060
Processor: Intel(R) i7-8th Gen
(RAM): 16.0 GB
HDD: 1 TB NvMe + 500 GB HDD
Service Tag Number: 4T2YDW2",#19075,9/9/2024,Yes,,,
64,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,,"Windows License Upgrade to Windows Pro
India - Guri Laptop
SerialNumber 5CD42607SP",#19067,9/9/2024,Yes,,,
65,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Renewed Dell Laptop + New RDP + Email + DUO
Username: dig\Harkaran
Node# 86

Dell Laptop Latitude 7480
Dell Laptop S/N: 8P338S2 (2018)
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18435,9/3/2024,Yes,,,
66,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 Renewed Dell Laptop + New RDP + Email + DUO
Username: dig\shahroz
Node# 85

Dell Laptop Latitude 7480
Dell Laptop S/N: HBVYPQ2 (2018)
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18435,9/3/2024,Yes,,,
67,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + Email + DUO
Username: dig\ayushb
Node# 83",#18417,8/30/2024,Yes,,,
68,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + DUO
Username: dig\shubrai
Node# 84",#18398,8/30/2024,Yes,,,
69,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO +1 Email
Username: dig\sahil
Node# 82",#18355,8/30/2024,Yes,,,
70,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"New Domain: Rendex Logistics
3 Email ID's Created:
dispatch@rendexlogistics.com 
safety@rendexlogistics.com 
accounting@rendexlogistics.com",#17141,8/29/2024,Yes,,,
71,Augmented Networks (Jaspreet),Na,,,"1 Dell CPU S/N: 4T2WDW2
Specifications: 16 GB RAM , 1TB SSD +500 GBIntel(R) Core(TM) i7-8700 CPU @ 3.20GHz, 3192 Mhz, 6 Core(s), 12 Logical Processor(s)

2 Connector Cables,
1 Power Cable,
1 Dell Keyboard,
1 Dell Mouse",#18383,8/28/2024,Yes,,,
72,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"New Domain: Roadtrainxpress
3 Email ID's Created:
dispatch@roadtrainxpress.com 
dispatch@lionforcelogistics.com 
dispatch@roadwaytranshaul.com",#18395,8/28/2024,Yes,,,
73,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,"2 New Emails
iceriver@haulagenorthamerica.com 
mandy@haulagenorthamerica.com",#18278,8/26/2024,Yes,,,
74,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO +1 Email
Username: dig\gurpreet

+1 New Dell Laptop Latitude 7480
Dell Laptop S/N: B1FTNN2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18185,8/21/2024,Yes,,,
75,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,1 Power Cable - (For User Dig\Ankit),#17920,8/16/2024,Yes,,,
76,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New email dispatch@hnapharmalogistics.com,#18098,8/16/2024,Yes,,,
77,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO +1 Email
Username: dig\shilpa",#18037,8/15/2024,Yes,,,
78,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO +1 Email
Username: dig\vijeta

+1 New Dell Laptop Latitude 7480
Dell Laptop S/N: CDSSPQ2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#18044,8/15/2024,Yes,,,
79,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,New Email Only shubkaran@dig.insure,#18013,8/14/2024,,,,
80,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,1 Power Cable - Only,#18004,8/13/2024,Yes,,,
81,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\amanpreet",#17920,8/12/2024,Yes,,,
82,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New Dell Laptop Latitude 7480
Dell Laptop S/N: 1VMNFH2
i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
(RAM) 16.0 GB
HDD 256GB",#17920,8/12/2024,Yes,,,
83,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,,New User: Diksha Rana - QB only,#17969,8/12/2024,Yes,,,
84,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New User: Prabhjot kaur Rathore,#17768,8/12/2024,Yes,,,
85,Haulage North America,"473032 Dufferin County Rd 11 , Orangeville ON L9W 2Y9",,,New User: Anirudh,#17970,8/12/2024,Yes,,,
86,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 LAPTOP'S: 
Laptop - Dell Latitude 7480 
Serial Number:
- JTH7RN2
- 3RJSNN2
· Operating System Windows 10 Pro 64-bit
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17901 & 17852,8/9/2024,Yes,,,
87,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\navdeep",#17901,8/9/2024,Yes,,,
88,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\angad",#17852,8/9/2024,Yes,,,
89,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\ankit",#17756,8/9/2024,Yes,,,
90,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\Priya",#17651,8/6/2024,Yes,,,
91,Arthur Transport Company Inc.,"1750 Steeles Avenue East, Brampton ON L6T 1A4",,,"1 New RDP + 1 DUO
Username: Arthur\A6",#11940,8/1/2024,Yes,,,
92,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New RDP + 1 DUO + 1 Email
Username: dig\simarjeet",#17611,7/31/2024,Yes,,,
93,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"3 New Laptop Details:- 
Laptop - Dell Latitude 7480 - Serial Number :
- J7K4QQ2
- G3LMHR2
- ServiceTag S/N:H6MNMQ2 (Bios S/N: 412CHR2)
· Operating System Windows 10 Pro 64-bit
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17615,7/30/2024,Yes,,,
94,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,,"1 Synology Server Setup:
- Synology - DS923+
- MAC 9009D05B253D
- MAC 9009D05B253E
- D/N - 2410TQR4G3GKG",#17612,7/29/2024,Yes,,,
95,MetroX,"13959 Airport Road, Caledon Ontario, L7C 2X6",,,"Onsite Visit for Internet Setup. 
- 3Hrs Serviced
(12:00noon - 3:00pm)",#17626,7/29/2024,Yes,,,
96,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,,NEW RDP Created + DUO (Jagruti),#17544,7/26/2024,,,,
97,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"Ethernet Setup at New Office:
- 4x 18 meter Internet Cabling,
- 1 Cisco Switch
- 8 Ethernet Cables 
- 2 External ports
- 4 Ethernet Jack",#17610,7/25/2024,Yes,,,
98,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"3 New RDP + 3 DUO + 3 Email
Username: dig\gautam, dig\navneet, dig\rupinder1",#17389,7/25/2024,Yes,,,
99,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"1 New Laptop Details:- 
Laptop - Dell Latitude 7480 - Serial Number : B98P0N2
· Operating System Windows 10 Pro 64-bit 
· CPU Intel Core i5 6300U @ 2.40GHz 
· RAM 16.0GB Dual-Channel DDR4 @ 1064MHz",#17389,7/25/2024,Yes,,,
100,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,Sandeep Mann - Personal PC + 2 LCDs - Rajkaran handled the Payment,#14873,7/24/2024,Yes,,,
101,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New RDP + DUO + Email
Username: dig\jaspreet",#16925,7/17/2024,Yes,,,
102,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New RDP + DUO + Email
Username: dig\asim",#16009,7/12/2024,Yes,,,
103,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"New RDP + DUO + Email
Username: dig\ritika",#16772,7/12/2024,Yes,,,
104,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
ON L6P 4B5",,,"2 New Laptops

Serial Number:-
9CPCST2
3MWS7S2

OS Name Microsoft Windows 10 Pro
System Model Latitude 7480
System Manufacturer Dell Inc.
Processor Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, 2496 Mhz, 2 Core(s), 4 Logical Processor(s)
Installed Physical Memory (RAM) 16.0 GB",#16831,7/12/2024,Yes,,,
105,Gracious Hardwood Flooring Inc.,"72 Devon Rd, Brampton, ON L6T 5B4",,,"3 Wireless New Devices + 1 New Base( Existing Exts 103; 104; 105)
All New Devices.
3 Yealink Wireless Phone W56
SN#- 8301523032519184
SN#- 8301523032520712
SN#- 8301523072500153
1 Yealink Base W70B:
SN#- 802017F072500695",#14866,7/11/2024,Yes,,,
